fold,store_id,product_id,rows,actual_sales_total,baseline_wape,lightgbm_wape,baseline_bias,lightgbm_bias,extra_absolute_error
1,542,740,14,9.3,0.24270353302611364,0.2440933829906355,1.1895246692412391e-17,0.000421897033307619,0.012925604670053215
1,545,757,14,3.4,1.5588235294117647,1.5825884469240419,0.11530612244897956,0.21054574257827663,0.08080071954174262
1,546,387,14,8.2,0.5871080139372822,0.5542537612485691,-0.03571428571428571,-0.2074705777598942,-0.26940487204744734
1,549,824,14,7.799999999999999,0.3131868131868132,0.3403078641469457,0.029591836734693906,-0.07128058965895877,0.21154419748903353
1,554,345,14,9.770000000000001,0.3313349904956865,0.29057331074401316,-0.021224489795918376,0.04183069870430164,-0.3982416111738485
1,571,670,14,5.0,0.3342857142857143,0.4244576645880052,-0.0030612244897959056,-0.06457224122500499,0.4508597515114545
1,598,600,14,3.7999999999999994,0.9699248120300753,0.8909283439164323,0.026530612244897927,0.14377762796424345,-0.3001865788318434
1,605,290,14,20.270000000000003,0.25167383184156733,0.2509014441795745,-0.0029591836734693677,-0.04113097623843941,-0.015656297908594574
1,606,190,14,11.2,0.3290816326530612,0.25182394549383935,0.01836734693877549,-0.015731657111308202,-0.8652860961832847
1,610,775,14,10.68,0.409844836811129,0.31564154121899946,-0.004081632653061226,0.02263727729452126,-1.006091196923943
1,611,343,14,5.54,0.6276431150077358,0.6308800216638147,0.0659183673469388,0.04261408672286212,0.01793246287467687
1,625,810,14,14.2,0.5674044265593562,0.5418527286971233,-0.08775510204081634,-0.2351795677935418,-0.3628341096437069
1,648,629,14,18.599999999999998,0.3671274961597542,0.41383126434908446,-0.02040816326530612,-0.23509513116272468,0.8686900883215429
1,650,666,14,18.900000000000002,0.22600151171579744,0.26095214702370056,0.08265306122449001,0.16380379512382454,0.6605670073193686
1,654,115,14,4.4,0.7467532467532466,0.7847519623648344,0.024489795918367342,0.05140404575525331,0.1671943486909857
1,654,634,14,6.000000000000001,0.2999999999999999,0.27337022631424274,1.9825411154020653e-17,-0.0012443076010158244,-0.15977864211454285
1,656,381,14,12.3,0.47967479674796754,0.47585098946603344,-0.023469387755101965,0.14087041419923366,-0.047032829567789314
1,662,503,14,17.099999999999998,0.38178780284043445,0.32375958393533283,-0.013265306122448963,-0.31145029279257336,-0.9922825432772377
1,662,864,14,14.7,1.0505344995140913,0.8263296075817305,-0.17448979591836727,-0.24390790766357462,-3.2958119114057034
1,667,4,14,71.4,0.42296918767506997,0.3081837272373422,0.5734693877551021,-0.289644423054819,-8.195681875253761
1,669,381,14,13.100000000000001,0.4983642311886587,0.5951254278371331,-0.013265306122449003,0.3125847276136386,1.267571676095014
1,674,45,14,3.8,0.7781954887218046,0.7883844246833217,0.037755102040816335,0.15149774836109256,0.038717956653765206
1,677,45,14,6.5,0.567032967032967,0.5192308493577221,0.046938775510204096,0.07479047469478647,-0.3107137648890923
1,684,215,14,22.0,0.20584415584415583,0.26034867984973586,0.02959183673469379,-0.3397343625418459,1.19909952812276
1,691,580,14,22.299999999999997,0.3523382447149264,0.25554277963238414,0.0612244897959184,-0.11832924907420052,-2.158538871340692
1,695,207,14,4.9,0.49854227405247814,0.48018558216806945,-0.02959183673469388,-0.02975969021685498,-0.08994779023360255
1,699,74,14,8.040000000000001,0.3452380952380953,0.26740832945727294,0.004999999999999997,0.0372311336541193,-0.6257513168778117
1,700,447,14,14.080000000000002,0.3218344155844155,0.27726307310399056,0.06571428571428575,0.07178466532211594,-0.6275645021243834
1,701,309,14,39.4,0.5844815083393762,0.6015920695675702,0.10204081632653061,0.0014632925107732778,0.6741561123908433
1,707,631,14,9.899999999999999,0.28860028860028863,0.3168532904751028,0.05714285714285714,0.15095752087887174,0.27970471856066004
1,721,177,14,6.7,0.3134328358208955,0.32384270117992964,-0.00714285714285713,-0.11814876384831681,0.06974609790552888
1,721,205,14,9.700000000000001,0.4815905743740794,0.4424641559843208,-0.05408163265306122,-0.21500648057290017,-0.37952625838065845
1,736,467,14,22.7,0.5160478288231592,0.5463802144996215,-0.2551020408163266,-0.7938533588838721,0.688545154855694
